filename, language, jupyter, comment, blank, total
2Gens-Cost-0_5k.ipynb, jupyter, 3845, 0, 1, 3846
2Gens-Cost-5k-Copy1.ipynb, jupyter, 3496, 0, 1, 3497
2Gens-Cost-5k.ipynb, jupyter, 3014, 0, 1, 3015
2Gens-Cost-9k.ipynb, jupyter, 1710, 0, 1, 1711
2Gens-CostFrequency-05k-Copy5-droop.ipynb, jupyter, 3512, 0, 1, 3513
2Gens-CostFrequency-05k-Copy5.ipynb, jupyter, 3501, 0, 1, 3502
2Gens-CostFrequency-05k-Copy6-droop.ipynb, jupyter, 59080, 0, 1, 59081
2Gens-CostFrequency-05k-Copy6.ipynb, jupyter, 3805, 0, 1, 3806
2Gens-CostFrequency-05k-Copy7-droop.ipynb, jupyter, 3512, 0, 1, 3513
2Gens-CostFrequency-05k-Copy7.ipynb, jupyter, 3501, 0, 1, 3502
3Gens-Cost-05k-Copy1.ipynb, jupyter, 3833, 0, 1, 3834
3Gens-Cost-05k-Copy2.ipynb, jupyter, 1847, 0, 1, 1848
3Gens-Cost-05k.ipynb, jupyter, 3519, 0, 1, 3520
3Gens-Cost-0_7k.ipynb, jupyter, 3512, 0, 1, 3513
3Gens-Cost-2k.ipynb, jupyter, 3833, 0, 1, 3834
3Gens-Cost-5k-Cuda.ipynb, jupyter, 474, 0, 1, 475
3Gens-Cost-5k.ipynb, jupyter, 505, 0, 1, 506
3Gens-Cost-8k.ipynb, jupyter, 505, 0, 1, 506
3Gens-CostFrequency-05k-Copy1.ipynb, jupyter, 3833, 0, 1, 3834
3Gens-CostFrequency-05k-Copy2.ipynb, jupyter, 3839, 0, 1, 3840
3Gens-CostFrequency-05k-Copy3.ipynb, jupyter, 3827, 0, 1, 3828
3Gens-CostFrequency-05k-Copy4.ipynb, jupyter, 3512, 0, 1, 3513
3Gens-CostFrequency-05k.ipynb, jupyter, 3518, 0, 1, 3519
3Gens-CostFrequency-5k-Copy1.ipynb, jupyter, 3523, 0, 1, 3524
3Gens-CostFrequency-5k-Copy2.ipynb, jupyter, 3510, 0, 1, 3511
3Gens-CostFrequency-5k.ipynb, jupyter, 3512, 0, 1, 3513
3Gens-CostFrequency-9k.ipynb, jupyter, 3831, 0, 1, 3832
3Gens-CostFrequency-C5-2k.ipynb, jupyter, 3512, 0, 1, 3513
3Gens-CostFrequency-C5-5k.ipynb, jupyter, 505, 0, 1, 506
3Gens-CostFrequency-C6-2k.ipynb, jupyter, 3512, 0, 1, 3513
3Gens-CostFrequency-C6-5k.ipynb, jupyter, 505, 0, 1, 506
3Gens-Frequency-15k.ipynb, jupyter, 686, 0, 1, 687
3Gens-Frequency-1k.ipynb, jupyter, 686, 0, 1, 687
3Gens-Frequency-5k.ipynb, jupyter, 652, 0, 1, 653
3Gens-Frequency-9k.ipynb, jupyter, 652, 0, 1, 653
Cuda-Test-Copy1.ipynb, jupyter, 596, 0, 1, 597
Cuda-Test-Copy2.ipynb, jupyter, 1001, 0, 1, 1002
Cuda-Test.ipynb, jupyter, 724, 0, 1, 725
Meeting-CostFreq-SingleModel.ipynb, jupyter, 884, 0, 1, 885
Meeting-DualModel.ipynb, jupyter, 544, 0, 1, 545
Meeting-Frequency-Copy1.ipynb, jupyter, 706, 0, 1, 707
Meeting-Frequency-Copy2.ipynb, jupyter, 767, 0, 1, 768
Meeting-Frequency-Copy3.ipynb, jupyter, 4857, 0, 1, 4858
Meeting-Frequency-Copy4.ipynb, jupyter, 4979, 0, 1, 4980
Meeting-Frequency-Copy5.ipynb, jupyter, 658, 0, 1, 659
Meeting-Frequency-Copy6.ipynb, jupyter, 3635, 0, 1, 3636
Meeting-Frequency-Copy7.ipynb, jupyter, 3635, 0, 1, 3636
Meeting-Frequency.ipynb, jupyter, 609, 0, 1, 610
Sample-TestCost-NoDroop-Copy65.ipynb, jupyter, 755, 0, 1, 756
Sample-TestCostFreq-Copy7.ipynb, jupyter, 818, 0, 1, 819
Sample-TestFrequency-15k.ipynb, jupyter, 591, 0, 1, 592
Sample-TestFrequency-sqfn-Copy6.ipynb, jupyter, 623, 0, 1, 624
Sample-TestFrequency.ipynb, jupyter, 577, 0, 1, 578
Sample.ipynb, jupyter, 429, 0, 1, 430
Sample_2.ipynb, jupyter, 376, 0, 1, 377
TestCostFreq-DualModel.ipynb, jupyter, 929, 0, 1, 930
sandbox.ipynb, jupyter, 125, 0, 1, 126
sandbox_3.ipynb, jupyter, 244, 0, 1, 245
Total, -, 179681, 0, 58, 179739